"Registration #","Salesforce #",Name,Type,Venue,Denomination,Location,Missionary,"Created Date","Expiration Date",Puggles,Cubbies,Sparks,Flame,Torch,"Truth Seekers","Living God's Story",T&T,"Jr. Varsity",Trek,Journey,Descubrelo,"Building Healthy Families",Total,Leaders
TZ000001,921213,"Pentecostal Evengellistic Church","Leader based",Church,Pentecostal,DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:29:30 AM","Jan 2027",0,0,40,60,48,24,0,0,0,0,0,0,0,172,10
TZ000002,921270,"Agape Internation Fellowship","Leader based",Church,Pentecostal,DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:30:53 AM","Jan 2027",0,0,38,44,30,42,0,0,0,0,0,0,0,154,10
TZ000003,921273,Baptist-Vingunguti,"Leader based",Church,Baptist,DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:30:53 AM","Jan 2027",0,0,40,38,50,2,0,0,0,0,0,0,0,130,10
TZ000004,921276,"Bethzatha Gospel Church","Leader based",Church,Pentecostal,DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:30:53 AM","Jan 2027",0,30,60,49,32,8,0,0,0,0,0,0,0,179,14
TZ000007,921285,"Christian Life Church","Leader based",Church,Pentecostal,DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:29:33 AM","Jan 2027",0,20,40,35,29,22,0,0,0,0,0,0,0,146,11
TZ000008,921288,"City Of Refugee Church","Leader based",Church,Pentecostal,KIWALANI,"Emmanuel Nkwamu","1/11/2018 12:30:53 AM","Jan 2027",0,15,53,70,42,18,0,0,0,0,0,0,0,198,13
TZ000010,921294,EFATA,"Leader based",Church,Pentecostal,DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:30:53 AM","Jan 2027",0,5,40,44,45,46,0,0,0,0,0,0,0,180,10
TZ000011,921297,"EMMAUS LIFE CHURCH PENTECOST","Leader based",Church,Pentecostal,"DAR ES SALAA","Emmanuel Nkwamu","1/11/2018 12:30:53 AM","Jan 2027",0,0,40,46,40,40,0,0,0,0,0,0,0,166,10
TZ000012,921300,"E.AG(T) GILGALI KIMARA","Leader based",Church,"Assembly of God",DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:30:53 AM","Jan 2027",0,0,55,90,60,84,0,0,0,0,0,0,0,289,17
TZ000013,921303,"E.A.G. (T) CHURCH. MALAMBA MAWILI","Leader based",Church,"Assembly of God","DAR ES SALAAM","Emmanuel Nkwamu","1/11/2018 12:30:53 AM","Jan 2027",0,0,38,48,35,46,0,0,0,0,0,0,0,167,8
TZ000014,921306,"GLORY CHURCH OF THE KINGDOM OF GOD","Leader based",Church,Pentecostal,DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:30:53 AM","Jan 2027",0,0,22,28,24,30,0,0,0,0,0,0,0,104,8
TZ000015,921309,"GOSPEL MINISTRY OF PENTECOST CHURCH","Leader based",Church,Pentecostal,DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:30:53 AM","Jan 2027",0,0,40,35,42,24,0,0,0,0,0,0,0,141,9
TZ000016,921312,"G.R.C HEMA YA KUKUTANIA","Leader based",Church,Pentecostal,DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:30:53 AM","Jan 2027",0,0,40,40,43,25,0,0,0,0,0,0,0,148,11
TZ000018,921318,"HUDUMA YA- THE GOOD NEWS SOCIAL WELFARE","Leader based",Church,Pentecostal,DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:29:33 AM","Jan 2027",0,0,38,40,53,32,0,0,0,0,0,0,0,163,10
TZ000021,921327,"JELUSALEM MPYA - KIGOGO TLATI","Leader based",Church,"Assembly of God",DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:29:33 AM","Jan 2027",0,0,30,30,31,22,0,0,0,0,0,0,0,113,7
TZ000023,921333,"KAWE PENTECOSTAL CHURCH","Leader based",Church,Pentecostal,DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:30:53 AM","Jan 2027",0,0,30,40,40,50,0,0,0,0,0,0,0,160,13
TZ000024,921336,"K.L.P.T K.MBONI GEZAULOLE","Leader based",Church,Pentecostal,KIGAMBONI,"Emmanuel Nkwamu","1/11/2018 12:29:33 AM","Jan 2027",0,0,30,30,32,26,0,0,0,0,0,0,0,118,6
TZ000025,921339,"KANISA LA PENTEKOSTE TANZANIA (K.L.P.T)","Leader based",Church,Pentecostal,DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:29:33 AM","Jan 2027",0,0,40,38,50,52,0,0,0,0,0,0,0,180,10
TZ000026,921342,"LIVING GOSPEL WORL MISSION","Leader based",Church,Pentecostal,ZANZIBAR,"Emmanuel Nkwamu","1/11/2018 12:29:33 AM","Jan 2027",0,0,183,32,45,38,0,0,0,0,0,0,0,298,13
TZ000027,921345,"LIVINGSTONE ASSEMELIES OF GOD","Leader based",Church,"Assembly of God",DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:30:53 AM","Jan 2027",0,0,30,40,40,53,0,0,0,0,0,0,0,163,14
TZ000028,921348,"MARANATHA RECONCILIATION CHURCH","Leader based",Church,Pentecostal,DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:29:30 AM","Jan 2027",0,30,40,50,35,0,0,0,0,0,0,0,0,155,13
TZ000029,921408,"NAIOTHGOSPEL ASSEMBLY","Leader based",Church,"Assembly of God","DAR ES SALAAM","Emmanuel Nkwamu","1/11/2018 12:26:30 AM","Jan 2027",0,0,28,34,34,45,0,0,0,0,0,0,0,141,0
TZ000031,921484,"NAIOTH GOSPEL ASSEMBLY CHURCH","Leader based",Church,"Assembly of God",DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:29:30 AM","Jan 2027",0,0,30,24,38,60,0,0,0,0,0,0,0,152,11
TZ000032,921487,"NAIOTH GOSPEL ASSEMBLY","Leader based",Church,"Assembly of God","YOMBO VITUKA","Emmanuel Nkwamu","1/11/2018 12:29:30 AM","Jan 2027",0,0,30,50,35,25,0,0,0,0,0,0,0,140,10
TZ000033,921490,"MORAVIAN CHURCH- SEGEREA","Leader based",Church,Moravian,DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:29:30 AM","Jan 2027",0,21,40,30,40,0,0,0,0,0,0,0,0,131,10
TZ000034,921493,"MITO YA BARAKA EAGT","Leader based",Church,"Assembly of God",DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:29:30 AM","Jan 2027",0,0,60,60,65,200,0,0,0,0,0,0,0,385,22
TZ000036,921499,"PENTEKOSTE MISSION CHURCH","Leader based",Church,Pentecostal,DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:29:30 AM","Jan 2027",0,0,10,21,24,30,0,0,0,0,0,0,0,85,6
TZ000038,921599,"PENTECOST HOLINESS MISSION","Leader based",Church,Pentecostal,DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:28:11 AM","Jan 2027",0,0,25,38,54,64,0,0,0,0,0,0,0,181,11
TZ000039,921602,"PENTECOSTE NAZARETH CHURCH","Leader based",Church,Pentecostal,DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:29:30 AM","Jan 2027",0,0,32,42,41,23,0,0,0,0,0,0,0,138,12
TZ000041,921608,"PENTECOSTE GOSPEL MISSION","Leader based",Church,Pentecostal,DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:29:30 AM","Jan 2027",0,0,20,42,45,65,0,0,0,0,0,0,0,172,13
TZ000042,921611,"PENTECOSTAL REFORMATION CHURCH","Leader based",Church,Pentecostal,DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:29:30 AM","Jan 2027",0,0,32,45,38,60,0,0,0,0,0,0,0,175,11
TZ000043,921614,"PENTEKOSTE TANZANIA (K.L.P.T)","Leader based",Church,Pentecostal,DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:28:11 AM","Jan 2027",0,0,28,62,48,54,0,0,0,0,0,0,0,192,9
TZ000045,921620,"PENTECOSTE GOSPEL MISSION","Leader based",Church,Pentecostal,DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:28:11 AM","Jan 2027",0,0,24,40,60,64,0,0,0,0,0,0,0,188,14
TZ000046,921623,"PENTECOSTAL (F.P.C.T)","Leader based",Church,Pentecostal,MADALE,"Emmanuel Nkwamu","1/11/2018 12:29:30 AM","Jan 2027",0,0,40,37,41,49,0,0,0,0,0,0,0,167,9
TZ000047,921626,"REEDEME ASSEMLIES OF GOD TANZANIA","Leader based",Church,"Assembly of God",DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:29:30 AM","Jan 2027",0,0,50,45,49,62,0,0,0,0,0,0,0,206,11
TZ000048,921629,"Tanzania assemblies of God","Leader based",Church,"Assembly of God",MBEYA,"Emmanuel Nkwamu","1/11/2018 12:29:30 AM","Jan 2027",0,0,167,163,164,0,0,0,0,0,0,0,0,494,33
TZ000049,921632,"REDEEMED GOSPEL CHURCH","Leader based",Church,Pentecostal,DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:29:30 AM","Jan 2027",0,0,25,50,45,48,0,0,0,0,0,0,0,168,11
TZ000054,921647,"SILOAM ASSEMBLIES OF GOD","Leader based",Church,"Assembly of God",DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:29:30 AM","Jan 2027",0,0,31,24,36,43,0,0,0,0,0,0,0,134,8
TZ000056,921653,"TANZANIA OUTREACH MINISTRIES","Leader based",Church,Pentecostal,DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:29:30 AM","Jan 2027",0,0,38,32,43,54,0,0,0,0,0,0,0,167,9
TZ000057,921656,"TANZANIA ANGLICAN CHURCH","Leader based",Church,Anglican,DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:29:30 AM","Jan 2027",0,0,36,60,46,60,0,0,0,0,0,0,0,202,14
TZ000058,921659,"THE CHURCH OF GOSPEL INTERNATION","Leader based",Church,Pentecostal,DAR-ES-SALAAM,"Emmanuel Nkwamu","1/11/2018 12:29:30 AM","Jan 2027",0,30,47,30,30,0,0,0,0,0,0,0,0,137,0
